Date,Description,Category,Money In,Money Out,Fee*,Balance
25/02/2023,Capfuneral,Funeral Cover,25.0,175.45,,-30.0
25/03/2023,Capfuneral,Funeral Cover,25.0,175.45,,-21.0
26/04/2023,Capfuneral,Funeral Cover,26.0,175.45,,-21.1
26/05/2023,Capfuneral,Funeral Cover,26.0,175.45,,-100.0
26/06/2023,Capfuneral,Funeral Cover,26.0,175.45,,-21.5
26/07/2023,Capfuneral,Funeral Cover,26.0,175.45,,-21.9
26/08/2023,Capfuneral,Funeral Cover,26.0,175.45,,-22.3
26/09/2023,Capfuneral,Funeral Cover,26.0,175.45,,-21.3
26/10/2023,Capfuneral,Funeral Cover,26.0,175.45,,-24.5
25/11/2023,Capfuneral,Funeral Cover,25.0,175.45,,-23.5
14/12/2023,Capfuneral,Funeral Cover,14.0,175.45,,-23.9
26/01/2024,Capfuneral,Funeral Cover,26.0,175.45,,-24.3
26/02/2024,Capfuneral,Funeral Cover,26.0,175.45,,-24.7
26/03/2024,Capfuneral,Funeral Cover,26.0,175.45,,-25.1
26/04/2024,Capfuneral,Funeral Cover,26.0,175.45,,-25.5
25/05/2024,Capfuneral,Funeral Cover,25.0,175.45,,-26.3
26/06/2024,Capfuneral,Funeral Cover,26.0,175.45,,-26.7
26/07/2024,Capfuneral,Funeral Cover,26.0,175.45,,-25.9
26/08/2024,Capfuneral,Funeral Cover,26.0,175.45,,-27.5
26/09/2024,Capfuneral,Funeral Cover,26.0,175.45,,-27.9
26/10/2024,Capfuneral,Funeral Cover,26.0,175.45,,-27.1
26/11/2024,Capfuneral,Funeral Cover,26.0,175.45,,-100.0
20/12/2024,Capfuneral,Funeral Cover,20.0,175.45,,-32.6
25/01/2025,Capfuneral,Funeral Cover,25.0,175.45,,-28.9
01/02/2025,Tfgaccount,Uncategorised,1.0,1.0,,-29.3
26/02/2025,Capfuneral,Funeral Cover,26.0,175.45,,-29.7
01/03/2025,Tfgaccount,Uncategorised,1.0,1.0,,-30.1
26/03/2025,Capfuneral,Funeral Cover,26.0,175.45,,-30.5
22/01/2025,Stash By Liberty,Savings,22.0,20.9,,-20.9
23/01/2025,Stash By Liberty,Savings,23.0,20.6,,-20.6
25/01/2025,Stash By Liberty,Savings,25.0,36.5,,-36.5
27/01/2025,Stash By Liberty,Savings,27.0,36.9,,-36.9
29/01/2025,Stash By Liberty,Savings,29.0,37.3,,-37.3
31/01/2025,Stash By Liberty,Savings,31.0,32.7,,-32.7
02/02/2025,Stash By Liberty,Savings,2.0,38.1,,-38.1
03/02/2025,Stash By Liberty,Savings,3.0,100.0,,-100.0
