Date,Description,Category,Money In,Money Out,Fee*,Balance
26/01/2023,25/02/2023,Uncategorised,25.0,,,
26/01/2023,25/03/2023,Uncategorised,25.0,,,
26/01/2023,26/04/2023,Uncategorised,26.0,,,
26/01/2023,26/05/2023,Uncategorised,26.0,,,
26/01/2023,26/06/2023,Uncategorised,26.0,,,
26/01/2023,26/07/2023,Uncategorised,26.0,,,
26/01/2023,26/08/2023,Uncategorised,26.0,,,
26/01/2023,26/09/2023,Uncategorised,26.0,,,
26/01/2023,26/10/2023,Uncategorised,26.0,,,
26/01/2023,25/11/2023,Uncategorised,25.0,,,
26/01/2023,14/12/2023,Uncategorised,14.0,,,
26/01/2023,26/01/2024,Uncategorised,26.0,,,
26/01/2023,26/02/2024,Uncategorised,26.0,,,
26/01/2023,26/03/2024,Uncategorised,26.0,,,
26/01/2023,26/04/2024,Uncategorised,26.0,,,
26/01/2023,25/05/2024,Uncategorised,25.0,,,
26/01/2023,26/06/2024,Uncategorised,26.0,,,
26/01/2023,26/07/2024,Uncategorised,26.0,,,
26/01/2023,26/08/2024,Uncategorised,26.0,,,
26/01/2023,26/09/2024,Uncategorised,26.0,,,
26/01/2023,26/10/2024,Uncategorised,26.0,,,
26/01/2023,26/11/2024,Uncategorised,26.0,,,
26/01/2023,20/12/2024,Uncategorised,20.0,,,
26/01/2023,25/01/2025,Uncategorised,25.0,,,
26/01/2023,01/02/2025,Uncategorised,1.0,,,
26/01/2023,26/02/2025,Uncategorised,26.0,,,
26/01/2023,01/03/2025,Uncategorised,1.0,,,
26/01/2023,26/03/2025,Uncategorised,26.0,,,
25/09/2024,25/10/2024,Uncategorised,25.0,,,
25/09/2024,02/12/2024,Uncategorised,2.0,,,
25/09/2024,04/12/2024,Uncategorised,4.0,,,
25/09/2024,06/12/2024,Uncategorised,6.0,,,
25/09/2024,08/12/2024,Uncategorised,8.0,,,
25/09/2024,11/12/2024,Uncategorised,11.0,,,
25/09/2024,14/12/2024,Uncategorised,14.0,,,
25/09/2024,16/12/2024,Uncategorised,16.0,,,
25/09/2024,19/12/2024,Uncategorised,19.0,,,
25/09/2024,21/12/2024,Uncategorised,21.0,,,
25/09/2024,22/12/2024,Uncategorised,22.0,,,
25/09/2024,25/12/2024,Uncategorised,25.0,,,
25/09/2024,29/12/2024,Uncategorised,29.0,,,
25/09/2024,30/12/2024,Uncategorised,30.0,,,
25/09/2024,05/01/2025,Uncategorised,5.0,,,
25/09/2024,08/01/2025,Uncategorised,8.0,,,
25/09/2024,10/01/2025,Uncategorised,10.0,,,
25/09/2024,12/01/2025,Uncategorised,12.0,,,
25/09/2024,15/01/2025,Uncategorised,15.0,,,
25/09/2024,16/01/2025,Uncategorised,16.0,,,
25/09/2024,18/01/2025,Uncategorised,18.0,,,
